User 170,Repost  ??Loot :- Men's Watches Rs.62   http://amzn.to/2oh8nKQ,?+919xxxxx662,04/10/17, 1:40 PM 
User 569,Sry,?+917xxxxx071,04/10/17, 1:40 PM 
User 244,"K7 Gold Lifetime Antivirus & Internet Security - 1 PC  55% off Price:   1,340   http://amzn.to/2ooXGGx",?+919xxxxx452,04/10/17, 1:43 PM 
User 170,"??Lowest Price :- *Pantene* Silky Smooth Care *Conditioner* for *66* [MRP Rs.120]  *Price Showing Rs.96* *Open Link & Click Collect 26% Off Coupon* Now, Select *""Subscribe & Save""* and Click *Subscribe Now* Done, Ordered Pantene Conditioner for *Rs.66*  http://amzn.to/2pk6ScL",?+919xxxxx662,04/10/17, 2:18 PM 
User 689,"Colt Men's T-Shirt ONLY @ Rs.249 (50%) OFF  http://amzn.to/2oQGbju  ? *Join Our Broadcast By Type ""Send Deals"" On This Contact 8218889004* ? *Then You Will Get All Latest Deals And Offers On Your WhatsApp*",?+918xxxxx900,04/10/17, 2:37 PM 
User 359,Selling Amazon account 5k wala 1k paytm m Urgent need paytm Also selling live cc,?+917xxxxx166,04/10/17, 3:09 PM 
User 283,"?? *Kosh Wheat Oats, 1kg @ ?62*  https://www.lootsmafia.com/kosh-wheat-oats-1kg/  ?? *Special offers and product promotions* ?? *Save 35% on EAT Anytime Cool Mint Bars – 240 g (Pack of 6) when you purchase 1 or more Qualifying items offered by Primarc Pecan Retail.*  *? JOIN MY ?BROADCAST? BY SENDING JOIN TO 9807065142 ??*",?+919xxxxx514,04/10/17, 3:10 PM 
User 536,New App Loot??  #?10 Paytm cash on singup bonus + ?5 Per refer.  Download here?? http://invite.bulbsmash.com/i?id=19930  Play game to earn more Paytm cash.,?+918xxxxx636,04/10/17, 3:13 PM 
User 536,*?New Paytm Loot App*  ?? *BulbSmash Game App - Get 10 Rs on Signup + 5 Rs per Referral*  ?? *Referral Link:* http://invite.bulbsmash.com/i?id=19930  Then sign up with Facebook And see Wallet rs. 10 added??  Invite friend and earn Rs. 5 Per Refer  ?? *Signup = 10 Rs* ?? *Refer = 5 Rs* ---------------------------------------- ?? *Play :* Play and win daily & Weekly league and Earn upto 1000 Rs.  ?? *Redeem :* (Min 100 Rs) ? *Paytm* ? *Recharge* ---------------------------------------- ?? *Invite More & Earn More*  ??,?+918xxxxx636,04/10/17, 3:16 PM 
User 689,"Maxxlite 24000mAh Power Bank with 3 USB Port & LED Torch - White MRP:2499/- *DEAL PRICE:1259/-*  http://amzn.to/2oQULHI  *40% Already Claimed* Grab Fast  ? *Join Our Broadcast By Type ""Send Deals"" On This Contact 8218889004* ? *Then You Will Get All Latest Deals And Offers On Your WhatsApp*",?+918xxxxx900,04/10/17, 3:29 PM 
User 276,https://chat.whatsapp.com/5N5VHxijGXQ5CPUHesQRzM,?+919xxxxx233,04/10/17, 3:30 PM 
User 536,*Anyone have any loot/tricks/refer group links then give me in pm....*,?+918xxxxx636,04/10/17, 3:30 PM 
User 112,??Lowest Price :- *Pillsbury* Moist Supreme Egg Free *Choco Cake* at *Flat 50% Off* for *Rs.70* [MRP Rs.150]  *Vegetarian*  *Choclate :-* http://amzn.to/2oQFJBN  *Vanilla :-* http://amzn.to/2op6EDM,?+917xxxxx038,04/10/17, 3:47 PM 
User 689,https://chat.whatsapp.com/2oBsdWhiwH015dDgs3d3Ia,?+918xxxxx900,04/10/17, 3:54 PM 
User 569,??Lowest Price :- *Pillsbury* Moist Supreme Egg Free *Choco Cake* at *Flat 50% Off* for *Rs.70* [MRP Rs.150]  *Vegetarian*  *Choclate :-* http://amzn.to/2nZFa4E  *Vanilla :-* http://amzn.to/2oQOGuU,?+917xxxxx071,04/10/17, 4:08 PM 
User 112,Repost ????  ??Lowest Price :- *Pillsbury* Moist Supreme Egg Free *Choco Cake* at *Flat 50% Off* for *Rs.70* [MRP Rs.150]  *Vegetarian*  *Choclate :-* http://amzn.to/2oQFJBN  *Vanilla :-* http://amzn.to/2op6EDM,?+917xxxxx038,04/10/17, 4:10 PM 
User 112,Loot  http://amzn.to/2nZJMro  Hurry clothing starting @ 25rs,?+917xxxxx038,04/10/17, 4:24 PM 
User 283,http://amzn.to/2nZJTDq  Try this fast,?+919xxxxx514,04/10/17, 4:55 PM 
User 283,http://amzn.to/2oi1CbH  Try this fast  Loot,?+919xxxxx514,04/10/17, 4:56 PM 
User 283,http://amzn.to/2ojgc1b  http://amzn.to/2nTBJeU   Loot suggestions  T-SHIRTS & sherwani,?+919xxxxx514,04/10/17, 4:59 PM 
User 283,http://amzn.to/2ojgc1b  http://amzn.to/2nTBJeU   Loot suggestions  T-SHIRTS & sherwani,?+919xxxxx514,04/10/17, 5:04 PM 
User 170,?? Men's Stylish *Shoes & Sandals* from *Rs.129*  http://amzn.to/2opDnJ3,?+919xxxxx662,04/10/17, 5:19 PM 
User 283,http://amzn.to/2opE4lM  Loot  BUY NOW,?+919xxxxx514,04/10/17, 5:23 PM 
User 317,Price error loot  Loot starting at *35*rs only  Free delivery with prime   http://amzn.to/2nTJLV2,?+918xxxxx096,04/10/17, 5:24 PM 
User 100,"Imported locking Trolley bags for girls, single design, good quality , light weight n size 20×12 only for Rs. 900",?+919xxxxx178,04/10/17, 5:46 PM 
User 359,"Guyes koi invest ar do yl 1000 paytm   Or koi loan d do 1000  Usko amazon se 30k, tak  k phone order kar duga",?+917xxxxx166,04/10/17, 5:46 PM 
User 283,"??Loot :- Dr. Batra Travel Kit at *Flat 68% Off* for *Rs.60* [MRP Rs.190]  *Combo of Face Wash, Lotion, Shampoo & Hand Wash*     http://amzn.to/2oXyg3v",?+919xxxxx514,04/10/17, 5:47 PM 
User 624,bhai carding kbhi ni hoti itni easily,?+918xxxxx212,04/10/17, 5:47 PM 
User 624,kisi ki baato me mt aa,?+918xxxxx212,04/10/17, 5:47 PM 
User 758,https://youtu.be/KUMXlEPp1WU,?+918xxxxx149,04/10/17, 5:58 PM 
User 100,Valentines offer...........Buy 1 HAIR?? STRAIGHTNER RS.650 N GET 1 TROLLEY BAG WORTH RS.350?? ABSOLUTELY FREE????????,?+919xxxxx178,04/10/17, 6:01 PM 
User 536,Big Loot {100? Verified} #PAYTM_LOOT ?Play game to earn more Paytm cash.  ?Signup bonus : ?10 ?Per Refer : ?5  Click On Link To Get ?10 Paytm ?? http://invite.bulbsmash.com/i?id=19930  [Refer More Earn More]  Note: Minimum Redemption ?100  Loot Fast,?+918xxxxx636,04/10/17, 6:01 PM 
User 317,Tu fhir aa gya,?+918xxxxx096,04/10/17, 6:17 PM 
User 354,30k ka phone chod.. 30k dede main 1000 deta hoon,?+919xxxxx406,04/10/17, 6:33 PM 
User 569,"*Tosaa 3mm Black Non Stick Flat Tawa, 28.5cm*  ? *DEAL PRICE ? 299* ?  *~REGULAR PRICE ? 500~*  *~MRP ? 785~*  ? *IT'S A LIGHTNING DEAL*?  http://amzn.to/2nTXvzm",?+917xxxxx071,04/10/17, 6:48 PM 
User 569,*Aircum Shoes Green Blue Men's Shoe At Rs 399/-* http://amzn.to/2opUfj7,?+917xxxxx071,04/10/17, 6:50 PM 
User 569,??Lowest Price :- *Puma* Unisex Slyde Idp *Sneakers* at *Flat 60% Off* for *Rs.1120* [MRP Rs.2799]  *Size 9 Only*  http://amzn.to/2nU3MLp,?+917xxxxx071,04/10/17, 6:50 PM 
User 112,??Lowest *Mee Mee Caring Baby Wet Wipes with Aloe Vera (72 pcs) (Pack of 3) @ 178 Mrp 387*  http://amzn.to/2plyiyS  Lightning deal,?+917xxxxx038,04/10/17, 7:47 PM 
User 569,??Lowest *Mee Mee Caring Baby Wet Wipes with Aloe Vera (72 pcs) (Pack of 3) @ 178 Mrp 387*  http://amzn.to/2ojLULw  Lightning deal,?+917xxxxx071,04/10/17, 8:27 PM 
User 569,*??LOOT - TIMES WATCHES 70% OFF JUST RS 584* (MRP 1999)  http://zngy.in/2nD,?+917xxxxx071,04/10/17, 8:31 PM 
User 569,Wildcraft Quest Black Rucksack (Black) @1282  http://zngy.in/2nT,?+917xxxxx071,04/10/17, 9:10 PM 
